Section,Item_Number,Part_Description,Model,Quantity,Unit_Price_USD,Total_Price_USD
"SERVER HARDWARE (ESTIMATE)",,,,,,
Server Hardware,SH-001,"Physical Server - Dell PowerEdge R250 (Intel Xeon E-2314 / 32GB RAM / 2x480GB SSD RAID1 / 2x1GbE) - Avaya-certified class","Dell PowerEdge R250",1,4500,4500
Server Hardware,SH-002,"Rack mounting kit 1U","Dell ReadyRails 1U",1,150,150
Server Hardware,SH-003,"UPS for server rack (1500VA)","APC SMT1500",1,600,600
Server Hardware,SH-004,"Server rack cabinet (12U)",Generic 12U Rack,1,350,350
Server Hardware,SH-SUB,"SUBTOTAL - Server Hardware",,,,5600
,,,,,,
"SESSION BORDER CONTROLLER (ESTIMATE)",,,,,,
SBC,SBC-001,"Avaya SBCE - Session Border Controller for Enterprise (software license, 100 sessions)","Avaya SBCE",1,9500,9500
SBC,SBC-002,"SBCE server appliance hardware (if dedicated appliance)","Avaya SBCE Appliance",1,2500,2500
SBC,SBC-ALT-001,"ALTERNATIVE: AudioCodes Mediant 800 SBC (100 SIP sessions)","AudioCodes Mediant 800",1,6500,6500
SBC,SBC-NOTE,"NOTE: Price SBC-001+SBC-002 OR SBC-ALT-001 - not both",,,,
SBC,SBC-SUB,"SUBTOTAL - SBC (Avaya SBCE option)",,,,12000
,,,,,,
"IP500 V2 CONTROLLERS & ANALOG CARDS (ESTIMATE)",,,,,,
IP500 V2,CTL-001,"Avaya IP500 V2 Control Unit - Building A","Avaya IP500 V2",1,4500,4500
IP500 V2,CTL-002,"Avaya IP500 V2 Control Unit - Building B","Avaya IP500 V2",1,4500,4500
IP500 V2,CTL-003,"Phone 16 V2 Card (16 analog ports) - Building A Card 1","Avaya Phone 16 V2",1,800,800
IP500 V2,CTL-004,"Phone 16 V2 Card (16 analog ports) - Building A Card 2","Avaya Phone 16 V2",1,800,800
IP500 V2,CTL-005,"Phone 16 V2 Card (16 analog ports) - Building B Card 1","Avaya Phone 16 V2",1,800,800
IP500 V2,CTL-006,"Phone 16 V2 Card (16 analog ports) - Building B Card 2","Avaya Phone 16 V2",1,800,800
IP500 V2,CTL-007,"IP500 V2 Base Card - VCM 64 (Voice Compression Module)","Avaya VCM 64",2,700,1400
IP500 V2,CTL-SUB,"SUBTOTAL - IP500 V2 Controllers & Cards",,,,13600
,,,,,,
"IP PHONES - J-SERIES (ESTIMATE)",,,,,,
IP Phones,PH-001,"Avaya J129 IP Phone - Lobby/Common Area (monochrome 2.3 inch display)","Avaya J129",50,95,4750
IP Phones,PH-002,"Avaya J139 IP Phone - General Staff (monochrome 3.2 inch, 3 lines)","Avaya J139",300,120,36000
IP Phones,PH-003,"Avaya J159 IP Phone - Standard Office (color 3.5 inch, Bluetooth, USB)","Avaya J159",400,155,62000
IP Phones,PH-004,"Avaya J169 IP Phone - Power User/Reception (color 3.5 inch, 16 lines)","Avaya J169",150,185,27750
IP Phones,PH-005,"Avaya J179 IP Phone - Manager/Supervisor (color 3.5 inch, 16 lines)","Avaya J179",70,210,14700
IP Phones,PH-006,"Avaya J189 IP Phone - Senior Executive (color 5.5 inch, 16 lines)","Avaya J189",20,280,5600
IP Phones,PH-007,"Avaya J199 IP Phone - C-Suite/Boardroom (color 7 inch touchscreen)","Avaya J199",10,420,4200
IP Phones,PH-SUB,"SUBTOTAL - IP Phones (1,000 units)",,1000,,155000
,,,,,,
"ANALOG PHONES - OPTIONAL (ESTIMATE)",,,,,,
Analog Phones,AP-001,"Analog desk phone for analog extension ports (basic model) - qty 60","Generic Analog Phone",60,35,2100
